id,name,full_name,owner,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,license,url,clone_url,topics
765083837,MinerU,opendatalab/MinerU,opendatalab,A high-quality tool for convert PDF to Markdown and JSON.一站式开源高质量数据提取工具，将PDF转换成Markdown和JSON格式。,Python,42304,3472,42304,135,2024-02-29T08:52:34Z,2025-08-22T05:06:56Z,2025-08-21T09:23:34Z,134768,GNU Affero General Public License v3.0,https://github.com/opendatalab/MinerU,https://github.com/opendatalab/MinerU.git,"ai4science, document-analysis, extract-data, layout-analysis, ocr, parser, pdf, pdf-converter, pdf-extractor-llm, pdf-extractor-pretrain, pdf-extractor-rag, pdf-parser, python"
265612440,TTS,coqui-ai/TTS,coqui-ai,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",Python,42178,5522,42178,6,2020-05-20T15:45:28Z,2025-08-22T03:15:34Z,2024-08-16T12:07:14Z,170196,Mozilla Public License 2.0,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS.git,"deep-learning, glow-tts, hifigan, melgan, multi-speaker-tts, python, pytorch, speaker-encoder, speaker-encodings, speech, speech-synthesis, tacotron, text-to-speech, tts, tts-model, vocoder, voice-cloning, voice-conversion, voice-synthesis"
4578002,python-patterns,faif/python-patterns,faif,A collection of design patterns/idioms in Python,Python,41967,7040,41967,15,2012-06-06T21:02:35Z,2025-08-21T19:24:02Z,2025-07-19T00:16:40Z,3800,,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns.git,"design-patterns, idioms, python"
873328,sentry,getsentry/sentry,getsentry,Developer-first error tracking and performance monitoring,Python,41786,4413,41786,2562,2010-08-30T22:06:41Z,2025-08-22T01:21:43Z,2025-08-22T02:30:45Z,704970,Other,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry.git,"apm, crash-reporting, crash-reports, csp-report, devops, django, error-logging, error-monitoring, fair-source, hacktoberfest, monitor, monitoring, python, sentry, tag-production"
33884891,airflow,apache/airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",Python,41676,15476,41676,1556,2015-04-13T18:04:58Z,2025-08-22T04:42:07Z,2025-08-22T04:42:01Z,431282,Apache License 2.0,https://github.com/apache/airflow,https://github.com/apache/airflow.git,"airflow, apache, apache-airflow, automation, dag, data-engineering, data-integration, data-orchestrator, data-pipelines, data-science, elt, etl, machine-learning, mlops, orchestration, python, scheduler, workflow, workflow-engine, workflow-orchestration"
569927055,stablediffusion,Stability-AI/stablediffusion,Stability-AI,High-Resolution Image Synthesis with Latent Diffusion Models,Python,41604,5309,41604,299,2022-11-23T23:59:50Z,2025-08-22T02:13:13Z,2025-06-25T14:18:37Z,75202,MIT License,https://github.com/Stability-AI/stablediffusion,https://github.com/Stability-AI/stablediffusion.git,
91629816,freqtrade,freqtrade/freqtrade,freqtrade,"Free, open source crypto trading bot",Python,41555,8460,41555,42,2017-05-17T23:48:53Z,2025-08-22T04:28:23Z,2025-08-21T05:15:45Z,623990,GNU General Public License v3.0,https://github.com/freqtrade/freqtrade,https://github.com/freqtrade/freqtrade.git,"algorithmic-trading, bitcoin, cryptocurrencies, cryptocurrency, freqtrade, python, telegram-bot, trade, trading-bot"
237791077,diagrams,mingrammer/diagrams,mingrammer,:art: Diagram as Code for prototyping cloud system architectures,Python,41364,2659,41364,386,2020-02-02T15:23:24Z,2025-08-22T00:24:05Z,2025-08-18T15:20:34Z,61657,MIT License,https://github.com/mingrammer/diagrams,https://github.com/mingrammer/diagrams.git,"architecture, diagram, diagram-as-code, graphviz"
83119431,ailearning,apachecn/ailearning,apachecn,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,Python,41290,11576,41290,3,2017-02-25T08:53:02Z,2025-08-22T03:51:17Z,2024-11-12T16:21:55Z,171378,Other,https://github.com/apachecn/ailearning,https://github.com/apachecn/ailearning.git,"adaboost, apriori, deeplearning, dnn, fp-growth, kmeans, logistic, lstm, mahchine-leaning, naivebayes, nlp, pca, python, recommendedsystem, regression, rnn, scikit-learn, sklearn, svd, svm"
613349035,ChatGLM-6B,zai-org/ChatGLM-6B,zai-org,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,Python,41112,5213,41112,598,2023-03-13T12:00:18Z,2025-08-22T00:29:59Z,2024-06-27T04:05:25Z,9362,Apache License 2.0,https://github.com/zai-org/ChatGLM-6B,https://github.com/zai-org/ChatGLM-6B.git,
